# BUSCO version is: 5.4.3 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5951at33208	Complete	OX336376.1	24951752	25008033	+	4163.9	1984
9639at33208	Complete	OX336381.1	27122348	27223353	-	2422.2	1745
13816at33208	Complete	OX336382.1	9093079	9201525	+	2029.9	1477
14776at33208	Complete	OX336376.1	32702490	32769631	-	2225.3	1650
16244at33208	Complete	OX336372.1	33863255	33983043	+	2640.6	1674
40200at33208	Complete	OX336378.1	23236568	23255967	+	731.0	518
45934at33208	Complete	OX336371.1	13413478	13467573	+	1006.3	860
49474at33208	Complete	OX336365.1	15132455	15182690	-	1676.6	1153
50756at33208	Complete	OX336379.1	11958084	12087867	+	1192.0	1037
56573at33208	Complete	OX336379.1	27998966	28046589	+	1299.2	919
57158at33208	Complete	OX336373.1	24472934	24533906	-	1797.5	1018
63697at33208	Complete	OX336377.1	40970322	40998834	-	1974.2	1092
64435at33208	Complete	OX336376.1	6084401	6150077	-	274.0	449
65302at33208	Complete	OX336375.1	33438766	33482979	+	1486.3	975
66018at33208	Complete	OX336367.1	31712650	31765698	+	1513.0	865
75406at33208	Complete	OX336366.1	34282996	34321787	+	461.6	477
76852at33208	Complete	OX336373.1	47528154	47589804	-	822.5	783
84980at33208	Complete	OX336379.1	8773341	8827132	-	901.2	530
88053at33208	Complete	OX336373.1	49281431	49337988	-	545.3	597
92367at33208	Complete	OX336377.1	38152651	38176066	-	343.7	400
99614at33208	Complete	OX336367.1	53041972	53081902	-	1355.5	938
99987at33208	Complete	OX336368.1	16487033	16544854	-	857.7	660
102804at33208	Complete	OX336373.1	59702622	59774200	-	1233.7	811
103854at33208	Complete	OX336377.1	46873124	46920888	-	598.9	617
107151at33208	Complete	OX336382.1	17914871	17963865	+	1233.8	729
107574at33208	Complete	OX336368.1	16256718	16288746	-	493.6	468
108764at33208	Complete	OX336367.1	54229464	54264514	-	370.2	364
109109at33208	Complete	OX336377.1	2625764	2653442	+	1044.7	581
111730at33208	Complete	OX336379.1	16778097	16896493	-	877.8	611
111746at33208	Complete	OX336365.1	2489863	2523079	-	457.4	534
114954at33208	Complete	OX336373.1	17684712	17711443	+	639.7	450
115878at33208	Complete	OX336376.1	4840158	4857978	+	431.4	268
118209at33208	Duplicated	OX336369.1	2862024	2898624	-	1492.0	857
118209at33208	Duplicated	OX336369.1	2802717	2842932	+	1451.2	800
119252at33208	Complete	OX336377.1	38789941	38854281	-	803.2	551
119591at33208	Complete	OX336371.1	57766796	57822187	-	1442.8	1002
121127at33208	Complete	OX336376.1	3137637	3227335	+	608.0	555
123923at33208	Complete	OX336365.1	423904	440896	-	394.3	364
124302at33208	Complete	OX336376.1	8314502	8383729	-	1008.4	783
127766at33208	Complete	OX336365.1	81239261	81278233	+	826.0	601
129179at33208	Complete	OX336366.1	3451076	3719188	+	780.7	580
130245at33208	Complete	OX336370.1	17809350	17852251	-	535.8	380
130256at33208	Complete	OX336371.1	16471892	16498534	+	715.4	543
131349at33208	Complete	OX336369.1	32693616	32770571	+	1412.5	910
131848at33208	Complete	OX336365.1	55710738	55745967	+	579.2	524
132087at33208	Complete	OX336366.1	37356121	37399207	+	750.9	750
134492at33208	Complete	OX336367.1	73022215	73060877	+	1207.2	838
135294at33208	Complete	OX336373.1	8399368	8452045	+	737.6	570
137383at33208	Complete	OX336368.1	27751001	27793002	+	899.5	654
139188at33208	Complete	OX336373.1	24538001	24567167	+	731.4	568
143619at33208	Complete	OX336373.1	54701491	54728126	+	380.5	306
143997at33208	Complete	OX336374.1	40362964	40387565	+	530.6	357
146671at33208	Complete	OX336366.1	46176630	46211170	+	825.1	564
147873at33208	Complete	OX336366.1	3193931	3232752	+	819.1	522
