# BUSCO version is: 5.4.3 
# The lineage dataset is: mollusca_odb10 (Creation date: 2020-08-05, number of genomes: 7, number of BUSCOs: 5295)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at6447	Complete	OX336367.1	23210800	23408981	+	7676.2	7902	https://www.orthodb.org/v10?query=2at6447	uncharacterized protein LOC110443581
3at6447	Complete	OX336376.1	15279567	15353473	-	7734.2	4009	https://www.orthodb.org/v10?query=3at6447	Dynein beta chain, ciliary
8at6447	Complete	OX336376.1	53388106	53487366	+	7452.1	4000	https://www.orthodb.org/v10?query=8at6447	dynein heavy chain 10, axonemal-like isoform X1
10at6447	Complete	OX336379.1	6218379	6350908	-	7042.5	3778	https://www.orthodb.org/v10?query=10at6447	Dynein heavy chain 2, axonemal  
26at6447	Complete	OX336369.1	70093156	70271025	+	6909.4	3993	https://www.orthodb.org/v10?query=26at6447	Cytochrome b5-like heme/steroid binding domain
33at6447	Complete	OX336366.1	50442823	50563684	-	4792.5	3969	https://www.orthodb.org/v10?query=33at6447	usherin-like
39at6447	Complete	OX336377.1	17819751	18079641	+	5523.0	4054	https://www.orthodb.org/v10?query=39at6447	dynein heavy chain 6, axonemal-like
41at6447	Complete	OX336365.1	25905579	26015230	+	4723.1	2819	https://www.orthodb.org/v10?query=41at6447	WD repeat and FYVE domain-containing protein 3 isoform X1
45at6447	Complete	OX336368.1	15114755	15192338	-	4028.4	2767	https://www.orthodb.org/v10?query=45at6447	uncharacterized protein LOC106078569
51at6447	Complete	OX336365.1	48383844	48510746	+	3192.5	2541	https://www.orthodb.org/v10?query=51at6447	serine/threonine-protein kinase SMG1-like
57at6447	Complete	OX336369.1	60431745	60566929	+	3568.1	2373	https://www.orthodb.org/v10?query=57at6447	protein furry-like
60at6447	Complete	OX336372.1	48684801	48823542	-	3429.7	3340	https://www.orthodb.org/v10?query=60at6447	cubilin-like
62at6447	Missing
63at6447	Complete	OX336371.1	64839561	64975096	+	3338.0	2668	https://www.orthodb.org/v10?query=63at6447	cilia- and flagella-associated protein 54-like
65at6447	Complete	OX336369.1	1387125	1530339	+	2647.9	1556	https://www.orthodb.org/v10?query=65at6447	Neurobeachin  
66at6447	Complete	OX336371.1	52938163	52998751	+	3876.8	2139	https://www.orthodb.org/v10?query=66at6447	serine/threonine-protein kinase mTOR-like isoform X1
67at6447	Complete	OX336371.1	35037715	35199091	-	4583.7	2924	https://www.orthodb.org/v10?query=67at6447	E3 ubiquitin-protein ligase HUWE1-like isoform X1
76at6447	Complete	OX336372.1	33863255	33983043	+	3492.7	1954	https://www.orthodb.org/v10?query=76at6447	DNA polymerase epsilon catalytic subunit
80at6447	Complete	OX336381.1	27122345	27223353	-	3548.2	1976	https://www.orthodb.org/v10?query=80at6447	dnaJ homolog subfamily C member 13-like isoform X1
82at6447	Complete	OX336367.1	13123284	13233780	-	3813.1	2617	https://www.orthodb.org/v10?query=82at6447	protein unc-80 homolog isoform X1
86at6447	Complete	OX336368.1	15995444	16148055	-	2419.8	2143	https://www.orthodb.org/v10?query=86at6447	vacuolar protein sorting-associated protein 13A-like
88at6447	Complete	OX336378.1	23115034	23218842	+	3420.2	1926	https://www.orthodb.org/v10?query=88at6447	Carbamoyl-phosphate synthase small subunit, N-terminal domain
89at6447	Complete	OX336379.1	7497606	7596186	-	3812.4	2112	https://www.orthodb.org/v10?query=89at6447	probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X1
101at6447	Complete	OX336371.1	37090524	37220558	+	3782.5	2602	https://www.orthodb.org/v10?query=101at6447	uncharacterized protein LOC105341006
107at6447	Complete	OX336365.1	32079443	32207684	-	2441.3	2007	https://www.orthodb.org/v10?query=107at6447	Zinc finger ZZ-type and EF-hand domain-containing protein 1  
112at6447	Complete	OX336366.1	48798485	48837161	-	3199.1	2299	https://www.orthodb.org/v10?query=112at6447	uncharacterized protein LOC106878360
117at6447	Complete	OX336369.1	38805256	39062830	+	2840.7	2508	https://www.orthodb.org/v10?query=117at6447	extracellular matrix protein 3
118at6447	Complete	OX336374.1	48089030	48267462	-	2671.0	1940	https://www.orthodb.org/v10?query=118at6447	Phosphoinositide phospholipase C
124at6447	Complete	OX336376.1	15039809	15193630	+	3397.4	2101	https://www.orthodb.org/v10?query=124at6447	tetratricopeptide repeat protein 28 isoform X1
128at6447	Complete	OX336371.1	1260485	1437503	+	3711.0	2192	https://www.orthodb.org/v10?query=128at6447	Inositol 1,4,5-trisphosphate receptor type 1  
129at6447	Complete	OX336373.1	21423268	21532834	-	2945.0	2229	https://www.orthodb.org/v10?query=129at6447	zinc finger homeobox protein 4
132at6447	Duplicated	OX336365.1	84809024	84857376	-	2385.4	1796	https://www.orthodb.org/v10?query=132at6447	fatty acid synthase-like
132at6447	Duplicated	OX336365.1	87566517	87697535	+	2762.9	1960	https://www.orthodb.org/v10?query=132at6447	fatty acid synthase-like
134at6447	Complete	OX336366.1	35420441	35493007	+	2682.1	1625	https://www.orthodb.org/v10?query=134at6447	HEAT repeat-containing protein 5B isoform X1
136at6447	Complete	OX336367.1	67099238	67191031	+	2696.3	1788	https://www.orthodb.org/v10?query=136at6447	dedicator of cytokinesis protein 7-like isoform X1
139at6447	Complete	OX336379.1	42610201	42640856	-	3122.3	1716	https://www.orthodb.org/v10?query=139at6447	DNA-directed RNA polymerase II subunit RPB1-like
140at6447	Complete	OX336374.1	35381277	35541522	+	3237.1	2286	https://www.orthodb.org/v10?query=140at6447	V4CMX4_LOTGI
143at6447	Complete	OX336366.1	80081830	80315414	-	2930.4	1810	https://www.orthodb.org/v10?query=143at6447	myosin-I heavy chain isoform X1
145at6447	Complete	OX336374.1	1802574	1918492	+	2644.0	1592	https://www.orthodb.org/v10?query=145at6447	C2 domain
149at6447	Complete	OX336379.1	39881258	40106415	-	2497.2	1712	https://www.orthodb.org/v10?query=149at6447	Dedicator of cytokinesis
152at6447	Complete	OX336367.1	15363149	15444916	-	2498.4	1391	https://www.orthodb.org/v10?query=152at6447	brefeldin A-inhibited guanine nucleotide-exchange protein 1 isoform X2
154at6447	Complete	OX336378.1	18009899	18177388	-	2699.1	1465	https://www.orthodb.org/v10?query=154at6447	Kinesin-like protein
156at6447	Complete	OX336381.1	29058509	29176198	+	2387.6	1314	https://www.orthodb.org/v10?query=156at6447	disco-interacting protein 2 homolog C isoform X1
157at6447	Complete	OX336368.1	36550762	36634232	-	2732.2	1828	https://www.orthodb.org/v10?query=157at6447	protein dopey-1-like isoform X1
160at6447	Complete	OX336374.1	1993366	2077221	-	1931.2	1511	https://www.orthodb.org/v10?query=160at6447	telomerase protein component 1 isoform X1
164at6447	Complete	OX336367.1	40942559	41019727	-	2563.3	1763	https://www.orthodb.org/v10?query=164at6447	FRAS1-related extracellular matrix protein 1
167at6447	Complete	OX336383.1	21804470	21964666	+	2192.7	1474	https://www.orthodb.org/v10?query=167at6447	unconventional myosin-Va-like
169at6447	Complete	OX336381.1	29401880	29464987	-	2209.6	1410	https://www.orthodb.org/v10?query=169at6447	coiled-coil domain-containing protein 108-like isoform X1
170at6447	Complete	OX336366.1	76628653	76725067	+	2070.6	2333	https://www.orthodb.org/v10?query=170at6447	zinc finger FYVE domain-containing protein 26 isoform X2
175at6447	Complete	OX336365.1	50762184	50878773	-	2415.6	1499	https://www.orthodb.org/v10?query=175at6447	myosin heavy chain, non-muscle
176at6447	Complete	OX336382.1	20241966	20512603	-	1675.5	1214	https://www.orthodb.org/v10?query=176at6447	structural maintenance of chromosomes flexible hinge domain-containing protein 1
177at6447	Complete	OX336370.1	27739709	27982644	+	2278.5	1186	https://www.orthodb.org/v10?query=177at6447	uncharacterized protein LOC101849679
184at6447	Complete	OX336373.1	24870378	24915131	+	2046.7	1727	https://www.orthodb.org/v10?query=184at6447	uncharacterized protein LOC106068793
187at6447	Complete	OX336381.1	17831979	17986852	-	2090.9	1807	https://www.orthodb.org/v10?query=187at6447	collagen alpha-3(VI) chain
190at6447	Complete	OX336365.1	45956513	46047231	-	2115.9	1385	https://www.orthodb.org/v10?query=190at6447	TATA-binding protein-associated factor 172
191at6447	Complete	OX336372.1	49370115	49518246	-	914.4	1465	https://www.orthodb.org/v10?query=191at6447	uncharacterized protein LOC101848577
194at6447	Complete	OX336365.1	12860478	12931468	+	2229.3	1209	https://www.orthodb.org/v10?query=194at6447	DNA-directed RNA polymerase III subunit RPC1-like
195at6447	Complete	OX336379.1	28732667	28795006	-	2443.8	1445	https://www.orthodb.org/v10?query=195at6447	LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase TRIP12-like
196at6447	Complete	OX336365.1	14021602	14086724	+	2206.8	1462	https://www.orthodb.org/v10?query=196at6447	sodium leak channel non-selective protein
197at6447	Complete	OX336373.1	20632136	20733655	-	1698.7	1532	https://www.orthodb.org/v10?query=197at6447	Rotatin
201at6447	Complete	OX336380.1	39842955	39937377	+	1217.5	1502	https://www.orthodb.org/v10?query=201at6447	protein crumbs-like isoform X1
202at6447	Complete	OX336376.1	29288329	29464990	+	2111.3	1440	https://www.orthodb.org/v10?query=202at6447	Myosin-XVIIIa  
203at6447	Missing
207at6447	Fragmented	OX336376.1	11597528	11666995	-	1748.5	1237	https://www.orthodb.org/v10?query=207at6447	protein KIAA0100-like
208at6447	Complete	OX336370.1	69088977	69219340	+	2204.8	2102	https://www.orthodb.org/v10?query=208at6447	vacuolar protein sorting-associated protein 13B-like
209at6447	Complete	OX336377.1	40970322	40998834	-	2372.7	1138	https://www.orthodb.org/v10?query=209at6447	Splicing factor 3B subunit 1
210at6447	Complete	OX336373.1	55644913	55680149	-	1707.5	1267	https://www.orthodb.org/v10?query=210at6447	CD109 antigen-like
212at6447	Complete	OX336377.1	21163650	21204249	-	2342.1	1459	https://www.orthodb.org/v10?query=212at6447	NACHT and WD repeat domain-containing protein 2-like
214at6447	Complete	OX336371.1	10939701	11001904	+	2144.6	1605	https://www.orthodb.org/v10?query=214at6447	uncharacterized protein LOC106070666
217at6447	Complete	OX336367.1	31712656	31767067	+	1823.1	1095	https://www.orthodb.org/v10?query=217at6447	intron-binding protein aquarius-like
219at6447	Complete	OX336370.1	20909830	21048140	+	2147.1	1308	https://www.orthodb.org/v10?query=219at6447	Myosin-IXa  
220at6447	Complete	OX336371.1	31194994	31398848	+	1236.3	1314	https://www.orthodb.org/v10?query=220at6447	A disintegrin and metalloproteinase with thrombospondin motifs 9 isoform X1
222at6447	Complete	OX336370.1	54486049	54671354	-	1963.3	1305	https://www.orthodb.org/v10?query=222at6447	ras GTPase-activating-like protein IQGAP1 isoform X1
224at6447	Complete	OX336371.1	57766796	57822187	-	1892.4	1057	https://www.orthodb.org/v10?query=224at6447	LOW QUALITY PROTEIN: intraflagellar transport protein 122 homolog
225at6447	Complete	OX336373.1	24472934	24533906	-	2051.1	1044	https://www.orthodb.org/v10?query=225at6447	splicing factor 3B subunit 3
226at6447	Complete	OX336372.1	19908190	19990673	+	2034.9	1026	https://www.orthodb.org/v10?query=226at6447	Coatomer subunit alpha
228at6447	Complete	OX336365.1	63149778	63227894	-	1860.9	1386	https://www.orthodb.org/v10?query=228at6447	Integrator complex subunit 1
230at6447	Complete	OX336378.1	7018329	7098650	-	2300.4	1419	https://www.orthodb.org/v10?query=230at6447	von Willebrand factor A domain-containing protein 8-like
232at6447	Complete	OX336371.1	48705066	48857139	+	2041.6	1074	https://www.orthodb.org/v10?query=232at6447	calcium-dependent secretion activator 1-like isoform X1
234at6447	Complete	OX336382.1	34948616	35012603	+	1898.7	1059	https://www.orthodb.org/v10?query=234at6447	WD repeat-containing protein 35
